Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
Hyundai,"Korean car manufacturer, which also manufactures heavy machinery.","Hyundai heavy machinery has been used in the demolition of Palestinian neighbourhoods in Jerusalem, benefiting them commercially from the Israeli occupation.",https://bdsmovement.net/news/boycott-hyundai-end-its-complicity-israel%E2%80%99s-ethnic-cleansing-palestinian-communities-jerusalem,Don't buy Hyundai cars or machinery. Don't sell Hyundai cars or machinery. Don't work for Hyundai.,,https://pbs.twimg.com/profile_images/821433960639008768/_M06NaeP_400x400.jpg
Mercedes Benz,German car manufacturer,"Mercedes Benz opened a tech hub in Tel Aviv to develop connected cars technology, when it could have opened such a hub in any city in the world.",https://www.timesofisrael.com/mercedes-benz-opens-tech-hub-in-tel-aviv-to-secure-lead-in-connected-cars/,Don't buy cars from Mercedes Benz. Don't work for Mercedes Benz.,,https://www.graduatesfirst.com/wp-content/uploads/2023/07/mercedes-benz-logo-7500641.png
Rentalcars.com,Rentalcars.com is a website owned by Booking Holdings.,"Booking.com, whos parent company Booking Holdings owns Rentalcars.com, allows listings in occupied Palestinian territory, and after initially deciding to add a label to properties which are in occupied territory, reversed that move under pressure from Israel.",https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy,Don't rent from on Rentalcars.com. Book directly with businesses. They usually offer discounts and similar terms for direct bookings. Don't list your products on Rentalcars.com. Don't work for Booking Holdings.,Book directly with the hiring company.,https://www.bookingholdings.com/wp-content/uploads/2018/02/bkng_brands-fullyopen-rentalcars.com_.svg
