Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
Naked Juice,Juice brand owned by PepsiCo,"The owner of Naked Juice, PepsiCo, bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall,Dont buy Naked Juice products. Don't sell Naked Juice products. Don't work for the PepsiCo Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl.",https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/0018/1433/brand.gif
Nestle,Nestle is the largest public food company in the world.,Osem is an israeli food manufacturer which operates in Occupied Palestine. Nestle owns a controlling stake in Osem.,https://en.wikipedia.org/wiki/Osem_(company),Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra Salads and others which can be found via the wikipedia page in the source.,"Supermarket own brand options. For water, look for Saka or non-Nestle/Coca-Cola/Pepsico brands.",https://cdn.worldvectorlogo.com/logos/nestle-5.svg
Oasis,Soft drink brand owned by the Coca Cola company.,"Coca-Cola Company which owns Oasis, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Oasis. Don't sell Oasis. Don't work for the Coca-Cola Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Saka water (from Turkiye). Barr Drinks (owner of Irn Bru).",https://www.tabletalkmedia.co.uk/wp-content/uploads/2015/11/Oasis-Logo.png
Pepsi,Soft drinks manufacterer,PepsiCo owns SodaStream and 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.,https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall,Dont buy PepsiCo products. Don't sell PepsiCo products. Don't work for the PepsiCo Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Barr Drinks (owner of Irn Bru).",https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/0021/0128/brand.gif
Pizza Hut,International fast food chain,Parent company Yum Brands is an investor in Israeli start ups.,"https://www.calcalistech.com/ctech/articles/0,7340,L-3901254,00.html",Dont eat food from Pizza Hut restaurants. Dont work in Pizza Hut restaurants.,Eat at local family owned businesses.,https://logowik.com/content/uploads/images/130_pizzahut.jpg
Popeyes,International fast food chain,"Popeyes is the sister company of Burger King, which supports IDF by providing free food and drinks to Israeli militants. See their instagram post (click translate) for reference.",https://www.instagram.com/p/CyORRWHIqeH/,Dont eat at Popeyes. Don't work for Popeyes.,Eat at local family owned businesses.,https://restaurantpropertysellers.com/wp-content/uploads/2021/11/popeyes-london-reviews.png
Powerade,Sports energy drink brand owned by the Coca Cola company.,"Coca-Cola Company which owns Powerade, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Powerade. Don't sell Powerade. Don't work for the Coca-Cola Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Barr Drinks (owner of Irn Bru).",https://www.coca-colacompany.com/content/dam/company/us/en/brands/logos/powerade-logo.png
Procter & Gamble,American multinational consumer goods corporation.,"Procter and Gamble opened an R&D center in Tel Aviv, Occupied Palestine, in which it invests $2bn annually.",https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=766ad3d811f5,Don't buy P&G products. Don't sell P&G products. Don't work for P&G.,"Supermarket own brand products. Eg. Aldi, Lidl.",https://logowik.com/content/uploads/images/108_procterandgamble.jpg
Pure Life,Pure Life is a water brand owned by Nestle.,"The owner of the Pure Life brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Pure Life products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Saka water (from Turkiye).",https://www.nestle.com/sites/default/files/styles/thumbnail/public/pure-life-logo-square.png
Rockstar Energy,Energy drink brand owned by PepsiCo,"The owner of Rockstar Energy, PepsiCo, bought SodaStream for $3.2bn and owns 50% of Sabra both of which had taken advantage of the Israeli occupation of Palestine.",https://www.bloomberg.com/view/articles/2018-08-22/pepsico-s-sodastream-purchase-is-sweet-news-for-israelis?leadSource=uverify%20wall,Dont buy Rockstar Energy products. Don't sell Rockstar Energy products. Don't work for the PepsiCo Company.,"Supermarket own brand products, eg. Aldi, Asda, Lidl. Barr Drinks (owner of Irn Bru).",https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-thumbnail/s3/0025/2387/brand.gif
