Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
Bayer Pharmaceuticals,"Pharmaceuticals, drugs and medicines manufacturer based in Germany.",Bayer Pharmaceuticals invests in Israel.,https://www.timesofisrael.com/pharma-giant-bayer-scouts-israeli-startup-scene-in-search-of-competitive-edge/,Don't buy Bayer Pharmaceuticals products. Don't sell Bayer Pharmaceuticals products. Check the details on packaging before you buy over the counter. Don't prescribe Bayer Pharmaceuticals products.,Ask pharmacist for non Bayer alternatives.,https://download.logo.wine/logo/Bayer/Bayer-Logo.wine.png
Sudocrem,"Moisturising cream owned by Israeli pharmaceuticals giant, Teva.",Teva Pharmaceuticals operates in Occupied Palestine,https://www.tevauk.com/patients/our-therapy-areas/consumer-healthcare/,Don't buy Sudocrem products. Don't sell Sudocrem products.,Supermarket own brand products. Pharmacy own brand products. Ask pharmacist for non Teva alternatives.,https://www.chemist.net/pub/media/brand/sudocrem_bd37.jpg
Teva Pharmaceuticals,"Pharmaceuticals, drugs and medicines manufacturer.",Teva Pharmaceuticals operates in Occupied Palestine.,https://www.chemistanddruggist.co.uk/CD017184/Teva-links-to-Israel-prompt-boycott-by-UK-contractors,Don't buy Teva Pharmaceuticals products. Don't sell Teva Pharmaceuticals products. Check the details on packaging before you buy over the counter. Most Teva products are generic drugs and can be substituted for other brands easily. Don't prescribe Teva Pharmaceuticals products.,Ask pharmacist for non Teva alternatives.,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Teva_Pharmaceuticals_logo.png/2560px-Teva_Pharmaceuticals_logo.png
