Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
Hublot,"A luxury watch brand owned by Bernard Arnaults company, LVMH","The owner of Hublot's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Hublot products. Don't sell Hublot products. Don't work for Hublot or LVMH.,,https://seeklogo.com/images/H/Hublot-logo-A48632AE5F-seeklogo.com.png
TAG Heuer,"A luxury watch brand owned by Bernard Arnaults company, LVMH","The owner of TAG Heuer's parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy TAG Heuer products. Don't sell TAG Heuer products. Don't work for TAG Heuer or LVMH.,,https://i.pinimg.com/originals/50/5f/1d/505f1dc613cff29078ccb445708b7b33.png
Tiffany & Co.,"A fashion brand owned by Bernard Arnaults company, LVMH","The owner of Tiffany & Co.'s parent company, LVMH, Bernard Arnault invests hundreds of millions in Israeli companies",https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/,Don't buy Tiffany & Co. products. Don't sell Tiffany & Co. products. Don't work for Tiffany & Co. or LVMH.,Unbranded oil based fragrances. Non designer clothing and accessories. Lush cosmetics. Huda beauty. Sunnamusk. Local jewellers.,https://clearvisioneyecare.ca/wp-content/uploads/2017/03/Tiffany-Co-logo.jpg
