Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
Coffee Mate,Coffee Mate is an instant coffee brand owned by Nestle.,"The owner of the Coffee Mate brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Coffee Mate products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,Caffe Nero.,https://www.nestle.com/sites/default/files/styles/thumbnail/public/coffee-mate-logo-round_7.png
Costa Coffee,Coffee house brand owned by the Coca Cola company.,"Coca-Cola Company, which owns Costa Coffee, operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.",https://www.foa.org.uk/campaign/boycottcocacola,Dont buy Costa Coffee. Don't sell Costa Express in your business. Don't work for Costa Coffee or the Coca-Cola Company.,Caffe Nero.,https://www.coca-colacompany.com/content/dam/company/us/en/brands/logos/costa-logo.png
Lavazza,Lavazza is a coffee products brand,"Lavazza has pressured football team Arsenal to silence its player, Mohamed Elneny, who posted support on social media for Palestine",https://www.skysports.com/amp/football/news/11095/12307323/arsenal-speak-to-mohamed-elneny-over-wider-implications-of-pro-palestinian-social-media-post-amid-sponsor-concern,Don't buy Lavazza products. Don't sell Lavazza products. Don't buy Arsenal football shirts whilst Lavazza is a sponsor.,Caffe Nero.,https://logowik.com/content/uploads/images/lavazza9192.logowik.com.webp
Nescafe,Nescafe is a coffee brand owned by Nestle.,"The owner of the Nescafe brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Nescafe products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,Caffe Nero.,https://www.nestle.com/sites/default/files/styles/thumbnail/public/nescafe-logo-square.png
Nespresso,Nespresso is a coffee brand owned by Nestle.,"The owner of the Nespresso brand, Nestle, owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.",https://en.wikipedia.org/wiki/Osem_(company),Don't buy Nespresso products. Avoid Nestle products until they divest all operations in Occupied Palestine. Especially avoid any Osem brands such as Sabra and others which can be found via the wikipedia page in the source.,Caffe Nero.,https://www.nestle.com/sites/default/files/styles/thumbnail/public/nespresso-logo-round-2.png
Starbucks,International coffee house chain,Howard Shultz is the largest private owner of Starbucks shares and is a staunch zionist who invests heavily in Israels economy including a recent $1.7 Billion investment in cybersecurity startup Wiz.,https://fortune.com/2021/04/07/wiz-howard-schultz-investment-fundraising-cybersecurity-startups-starbucks-ceo/,Dont buy Starbucks. Dont sell Starbucks On the Go. Don't work for Starbucks.,Caffe Nero.,https://www.tailorbrands.com/wp-content/uploads/2020/11/starbucks-logo-2011.jpg
