Name,Description,Reason,Proof,How to Boycott,Alternatives,Logo URL
Agoda,Agoda is a website owned by Booking Holdings.,"Booking.com, whos parent company Booking Holdings owns Agoda, allows listings in occupied Palestinian territory, and after initially deciding to add a label to properties which are in occupied territory, reversed that move under pressure from Israel.",https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy,Don't book on Agoda. Book directly with businesses. They usually offer discounts and similar terms for direct bookings. Don't list your services on Agoda. Don't work for Booking Holdings.,halalbooking.com.,https://www.bookingholdings.com/wp-content/uploads/2019/10/bkng_brands-fullyopen-agoda-1.svg
Airbnb,Airbnb is a platform for renting out properties.,"Airbnb allows listings in occupied Palestinian territory, and after announcing it will remove 200 of such listings, it reversed its decision, showing it is knowingly complicit in Israels occupation.",https://www.amnesty.org/en/latest/press-release/2020/12/airbnb-listing-company-is-deeply-compromised-by-israeli-settlement-properties/,Don't rent property on Airbnb. Don't list property on Airbnb. Delete the Airbnb app. Don't work for Airbnb.,halalbooking.com.,https://s.yimg.com/uu/api/res/1.2/Bz8iDlw16Zf6PVc.y33xdg--~B/aD0zOTA7dz02MTA7YXBwaWQ9eXRhY2h5b24-/http://globalfinance.zenfs.com/Finance/US_AHTTP_ENTREPRENEUR_H_NEW_LIVE/1405612741-airbnb-why-new-logo_original.jpg
Booking.com,Booking.com is a platform for renting out properties.,"Booking.com allows listings in occupied Palestinian territory, and after announcing it will remove 200 of such listings, it reversed its decision, showing it is knowingly complicit in Israels occupation.",https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy,Don't rent property on Booking.com. Book directly with businesses. They usually offer discounts and similar terms for direct bookings. Don't list property on Booking.com. Don't work for Booking Holdings.,halalbooking.com.,https://www.bookingholdings.com/wp-content/uploads/2020/11/bkng_brands-fullyopen-booking.com_-1.svg
Cheapflights,Cheapflights is a website owned by Booking Holdings.,"Booking.com, whos parent company Booking Holdings owns Cheapflights, allows listings in occupied Palestinian territory, and after initially deciding to add a label to properties which are in occupied territory, reversed that move under pressure from Israel.",https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy,Don't book on Cheapflights. Book directly with businesses. They usually offer discounts and similar terms for direct bookings. Don't list your services on Cheapflights. Don't work for Booking Holdings.,"Use the site to find a flight, and book directly with airline.",https://www.cheapflights.co.uk/news/wp-content/uploads/sites/138/2020/03/default-post-thumbnail-1640x1312.png
Kayak,Kayak is a website owned by Booking Holdings.,"Booking.com, whos parent company Booking Holdings owns Kayak, allows listings in occupied Palestinian territory, and after initially deciding to add a label to properties which are in occupied territory, reversed that move under pressure from Israel.",https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy,Don't book on Kayak. Book directly with businesses. They usually offer discounts and similar terms for direct bookings. Don't list your services on Kayak. Don't work for Booking Holdings.,halalbooking.com.,https://www.bookingholdings.com/wp-content/uploads/2018/02/bkng_brands-fullyopen-kayak-1.svg
Priceline,Priceline is a website owned by Booking Holdings.,"Booking.com, whos parent company Booking Holdings owns Priceline, allows listings in occupied Palestinian territory, and after initially deciding to add a label to properties which are in occupied territory, reversed that move under pressure from Israel.",https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy,Don't book on Priceline. Book directly with businesses. They usually offer discounts and similar terms for direct bookings. Don't list your services on Priceline. Don't work for Booking Holdings.,halalbooking.com.,https://www.bookingholdings.com/wp-content/uploads/2018/05/brands-fullyopen-priceline.svg
Rentalcars.com,Rentalcars.com is a website owned by Booking Holdings.,"Booking.com, whos parent company Booking Holdings owns Rentalcars.com, allows listings in occupied Palestinian territory, and after initially deciding to add a label to properties which are in occupied territory, reversed that move under pressure from Israel.",https://www.aljazeera.com/news/2022/10/5/is-booking-com-reversal-palestine-corporate-hypocrisy,Don't rent from on Rentalcars.com. Book directly with businesses. They usually offer discounts and similar terms for direct bookings. Don't list your products on Rentalcars.com. Don't work for Booking Holdings.,Book directly with the hiring company.,https://www.bookingholdings.com/wp-content/uploads/2018/02/bkng_brands-fullyopen-rentalcars.com_.svg
Waze,Israel based navigation app. Operations in Israel.,"Founder, Uri Levine, is a staunch zionist who is also ex-IDF (also founded moovit).",https://twitter.com/UriLevine1,Don't use Waze to navigate. Don't work for Waze..,"Use Google maps which is also on the list, but they don't earn revenue from it like waze does through advertising. Amigo (unverified).",https://9to5google.com/2020/06/29/waze-logo-2020-brand-refresh/waze-logo-2020-1/
